time,/jointset/shoulder0/elv_angle/value,/jointset/shoulder1/shoulder_elv/value,/jointset/shoulder2/shoulder_rot/value,/jointset/elbow/elbow_flexion/value,/jointset/radioulnar/pro_sup/value,/jointset/shoulder0/elv_angle/speed,/jointset/shoulder1/shoulder_elv/speed,/jointset/shoulder2/shoulder_rot/speed,/jointset/elbow/elbow_flexion/speed,/jointset/radioulnar/pro_sup/speed,x,z,/tau_elv_angle,/tau_shoulder_elv,/tau_shoulder_rot,/tau_elbow_flexion,/tau_pro_sup
0.175,0.777958333,0.583712635,0.251915656,1.744185337,-0.054022923,3.561298373,1.591490212,-0.330598761,1.09461985,-0.006467331,0.454432,0.207766,-0.000982682,0.042234681,-0.007986669,-0.001460345,-0.000293516
0.180833333,0.798628452,0.593168772,0.249952579,1.749720534,-0.053403952,3.52422025,1.650204838,-0.342456025,0.793399516,0.216684931,0.454432,0.207766,-0.010845751,0.038775568,-0.008044068,-0.005698865,-0.000139939
0.186666667,0.819058147,0.602960251,0.247920341,1.753327766,-0.051518275,3.478867585,1.706464422,-0.354310792,0.433603142,0.427831953,0.454432,0.207766,-0.020708821,0.035316454,-0.008101468,-0.009937385,1.36e-05
0.1925,0.839199606,0.613071757,0.245820382,1.754669869,-0.048402009,3.425488514,1.759780304,-0.365009358,0.01744626,0.64080656,0.454432,0.207766,-0.030522314,0.031153195,-0.008008271,-0.014024286,0.000181273
0.198333333,0.859007163,0.623484521,0.243669667,1.753425138,-0.044039816,3.364386609,1.809753154,-0.371712727,-0.453311191,0.855006615,0.454432,0.207766,-0.040335807,0.026989936,-0.007915074,-0.018111187,0.000348909
0.204166667,0.878436455,0.634178095,0.241491696,1.749285674,-0.038405402,3.29592803,1.855927432,-0.373919396,-0.97335464,1.076618796,0.454432,0.207766,-0.049993165,0.022108945,-0.007622508,-0.021670851,0.000525372
0.21,0.897446159,0.645128986,0.239320118,1.741982757,-0.03148129,3.220528034,1.897976505,-0.369520355,-1.537923439,1.297188903,0.454432,0.207766,-0.059650523,0.017227954,-0.007329943,-0.025230515,0.000701834
0.215833333,0.915996533,0.656312462,0.237198004,1.731266673,-0.023226209,3.138578692,1.935589405,-0.355874337,-2.142007151,1.538244018,0.454432,0.207766,-0.069142334,0.011681548,-0.006801947,-0.028046529,0.000922703
0.221666667,0.934050997,0.667701895,0.235193769,1.716924487,-0.013475383,3.050502173,1.968590463,-0.329104815,-2.781158471,1.810015407,0.454432,0.207766,-0.078634145,0.006135142,-0.006273951,-0.030862542,0.001143572
0.2275,0.951574906,0.679270127,0.233381564,1.698771166,-0.002056233,2.956861445,1.996882136,-0.290209162,-3.445369476,2.106870536,0.454432,0.207766,-0.087813395,-4.98e-05,-0.005444957,-0.032768981,0.001373045
0.233333333,0.968537987,0.690989775,0.231831486,1.676698964,0.011125174,2.858218303,2.02050465,-0.239232749,-4.124775048,2.414217532,0.454432,0.207766,-0.096992644,-0.006234673,-0.004615963,-0.034675419,0.001602517
0.239166667,0.984911724,0.702833886,0.230628228,1.650629976,0.026216712,2.754909022,2.039621959,-0.168775895,-4.81377374,2.776765457,0.454432,0.207766,-0.10608194,-0.012879958,-0.00347164,-0.035755084,0.00193772
0.245,1.000670127,0.714777061,0.229915365,1.620531154,0.043716087,2.647246356,2.054469302,-0.07109708,-5.506432497,3.239761845,0.454432,0.207766,-0.115171236,-0.019525244,-0.002327317,-0.036834749,0.002272923
0.250833333,1.015788809,0.726794599,0.229839414,1.58639237,0.064091814,2.535738614,2.065166773,0.047592589,-6.196625639,3.744375509,0.454432,0.207766,-0.123995014,-0.026631938,-0.000785361,-0.03678521,0.002522207
0.256666667,1.030247174,0.738862943,0.2305002,1.548256646,0.087379164,2.420851625,2.071888663,0.181498716,-6.876812162,4.238032855,0.454432,0.207766,-0.132818792,-0.033738633,0.000756594,-0.036735671,0.002771492
